01_prenom;02_genre;03_langage;04_fréquence
jadzia;f;polish;0
jael;f;biblical, jewish;0
jafar;m;arabic;0
jafet;m;;0
jaffar;m;indian;0
jaffe;f;jewish;0.35
jaffer;m;indian;0.10
jagannath;m;indian;0
jagdish;m;indian;0
jagjit;m;indian;0
jago;m;cornish;0
jagoda;f;croatian, serbian;0
jahan;m;iranian;0
jahangir;m;iranian;0
jahel;f;;0.03
jahleel;m;biblical;0
jahzeel;m;biblical;0
jai;m;indian;0.06
jaiden;m,f;english (modern);0
jaidev;m;indian;0
jaime (1);m;spanish, portuguese;0
jaime (2);f;english;0
jair;m;biblical;0
jairus;m;biblical;0
jaka;m;slovene;0
jakab;m;hungarian;0
jake;m;english;0
jakki;f;english;0
jákob;m;hungarian;0
jakob;m;german, scandinavian;0.32
jakov;m;croatian;0
jakub;m;polish, czech;0
jalal;m;arabic;0
jalen;m;english (modern);0
jalila;f;arabic;0
jalmari;m;finnish;0
jalo;m;finnish;0
jamaal;m;arabic;0
jamaar;m;english (modern);0
jamal;m,f;arabic;0.03
jamar;m;english;0
jameel;m;indian;0
jameela;f;indian;0
james;m;english, biblical;6.98
jamesina;f;scottish;0
jamey;m;english;0
jami;f;english;4.78
jamie (1);m;scottish, english;0
jamie (2);f;english;0
jamil;m;arabic;0
jamila;f;arabic;0
jamin;m;biblical;0.03
jamison;m;english;0
jamshad;m;iranian;0
jamshed;m;iranian;0
jamsheed;m;iranian;0
jan (1);m;dutch, scandinavian, czech, polish, german;0
jan (2);f;english;0
jana;f;dutch, czech, polish;0
janae;f;english;0
janan;f;arabic;0
jancis;f;english;0
jancsi;m;hungarian;0
jane;f;english;3.35
janecek;m;czech;0
janek;m;polish;0.03
janeka;f;english;0
janel;f;english;0
janele;f;english;0
janella;f;english;0
janelle;f;english;0
janene;f;english;0
janessa;f;english;0
janet;f;english;1.62
janetta;f;english;0
janette;f;english;0
janey;f;english;0
janez;m;slovene;0
jani;m;finnish, hungarian;0
janice;f;english;0
janie;f;english;0.48
janika;m;hungarian;0
janina;f;polish, english;0.03
janine;f;english;2.93
janis (1);m;latvian;0
janis (2);f;english;0
janna;f;english;0.03
jannah;f;english;0
janne (1);m;swedish;0
janne (2);f;danish, norwegian;0
janneke;f;dutch;0
jannick;m;danish;0
jannike;f;scandinavian;0
jannine;f;english;0
jános;m;hungarian;0
janus;m;roman mythology;0.64
janusz;m;polish;0
japeth;m;;0
japheth;m;biblical;0
jaqueline;f;english;0
jaquelyn;f;english;0
jared;m;english, biblical;0
jarek;m;polish, czech;0
jareth;m;english (modern);0
jari;m;finnish;0
jarka;f;czech;0.03
jarl;m;scandinavian, norse mythology;0
jarlath;m;irish;0
jarmila;f;czech;0
jarod;m;english;0
jarogniew;m;polish;0
jaromil;m;polish, czech;0
jaromir;m;czech;0
jaron;m,f;english;0
jaropelk;m;polish;0
jaroslav;m;czech;0.03
jaroslaw;m;polish;0
jaroslawa;f;polish;0
jarred;m;english;0
jarrett;m;english;13.86
jarrod;m;english;0
jarvis;m;english;0
jasmin;f;english (modern);2.42
jasmine;f;english;0
jasmyn;f;english (modern);0
jason;m;english, greek mythology (latinized), biblical;2.20
jasper;m;english;0.10
jaswinder;f;indian;0
jathbiyya;f;arabic;0
jathibiyya;f;arabic;0
jaume;m;catalan;0.03
jaumet;m;catalan;0
javaid;m;iranian;0
javan;m;biblical;0.06
javed;m;iranian, arabic;0
javier;m;spanish, portuguese;8.00
javor;m;croatian, serbian, slovene;0
jawahir;f;arabic;0
jawdat;m;arabic;0
jaxon;m;english (modern);0
jay (1);m;english;0
jay (2);m;indian;0
jaya;f;indian;0
jayant;m;indian;0
jayanti;f;indian;0
jaycob;m;english (modern);0
jayda;f;english;0
jayde;f;english (modern);0
jayden;m,f;english (modern);0
jaydon;m;english (modern);0
jaye;m;english;0
jayel;f;;0
jayla;f;english (modern);0
jaylee;f;english (modern);0
jaylen;m;english (modern);0
jaylin;m;english (modern);0
jaylon;m;english (modern);0
jayma;f;;0
jayme;f;english;0
jaymes;m;english;0
jayna;f;english (modern);0
jayne;f;english (modern);0
jaynie;f;english;0
jayson;m;english (modern);0
jaywant;m;indian;0
jazmin;f;english;0
jazmine;f;english;0
jean (1);m;french;0
jean (2);f;english;0
jeana;f;english;0
jean-baptiste;m;french;0
jeane;f;english;0
jeanette;f;english;0.03
jeanie;f;english;0
jeanine;f;french, english;1.72
jean-marie;m;french;0
jeanna;f;english;0
jeanne;f;french;15.13
jeannette;f;french;4.91
jeannie;f;english;0
jeannine;f;french, english;0.13
jeannot;m;french;7.61
jeb;m;english;0.03
jed;m;english;0
jedidah;f;biblical;0
jedidiah;m;biblical;0
jedrzej;m;polish;0
jeetendra;m;indian;0
jeff;m;english;2.48
jefferson;m;english;1.08
jeffery;m;english;0
jeffrey;m;english;0.32
jeffry;m;english;0
jehiel;m;biblical;0
jehoash;m;biblical;0
jehoshaphat;m;biblical;0
jehovah;m;theology;0.10
jehu;m;biblical;0
jekaterina;f;russian;0
jelani;m;african;0
jelena;f;latvian, croatian, serbian;0
jelka;f;slovene, croatian;0
jem;m;english;0
jemima;f;biblical, english;0.25
jemma;f;english;0
jemmy;m;english;0
jen;f;english;0.03
jena;f;english (modern);0
jenae;f;english (modern);0
jenaro;m;spanish;0
jenci;m;hungarian;0
jenelle;f;english;0
jenessa;f;english;0
jeni;f;english;0
jenifer;f;english;0
jenn;f;english;0
jenna;f;english;0
jenni;f;english;0
jennie;f;english;0
jennifer;f;english;0
jenny;f;english;8.54
jenõ;m;hungarian;0
jens;m;danish;0
jep;m;english;0
jephtha;m;biblical (variant);0
jephthah;m;biblical;0
jepson;m;english;0
jeptha;m;;0
jera;f;english;0
jerald;m;english;0
jere;m;english;0
jeremiah;m;english, jewish, biblical;0.29
jeremias;m;german;0
jérémie;m;french;7.07
jeremiel;m;biblical;0
jeremy;m;english, biblical (variant);0.10
jeri;f;english;0
jericho;m;biblical, english;0
jerk;m;swedish;0.25
jerker;m;swedish;0
jermaine;m;english;0
jernej;m;slovene;0
jeroen;m;dutch;0
jerold;m;english;0
jérôme;m;french;21.60
jerome;m;english;0.19
jerónimo;m;spanish;0
jerrard;m;english;0.03
jerri;f;english;0
jerrie;f;english;0
jerrod;m;english;0
jerrold;m;english;0
jerry;m,f;english;0.80
jerusha;f;biblical;0
jervis;m;english;0.19
jerzy;m;polish;0
jesper;m;danish;0
jess;m,f;english;0
jessalyn;f;english (modern);0
jessamine;f;english;0
jessamyn;f;english;0
jesse;m;english, biblical;0
jessenia;f;arabic;0
jessi;f;english;0
jessica;f;english;8.79
jessie (1);f;scottish;0
jessie (2);f,m;english;0
jessika;f;english (modern);0
jessye;f;english (modern);0
jesús;m;spanish, portuguese;0
jesus;m;theology, biblical;0.51
jesusa;f;spanish, portuguese;0
jethro;m;biblical, english;0.03
jetta;f;english;0.03
jeunesse;f;;63.94
jewel;f;english;0
jewell;f;english (modern);0
jezebel;f;biblical;0.03
jia;f;chinese;0
jiang;m,f;chinese;0.06
jill;f;english;0.10
jillian;f;english;0
jillie;f;english;0
jilly;f;english;0
jim;m;english;1.85
jimena;f;spanish;0
jimi;m;english;0.19
jimmie;m,f;english;0
jimmy;m;english;0.80
jin;m,f;chinese;0.03
jinan;m,f;arabic;0
jindrich;m;czech;0
jing;m,f;chinese;0.06
jin-ho;m;korean;0
jinny;f;english;0
jirair;m;armenian;0
jirí;m;czech;0
jiro;m;japanese;0
jitender;m;indian;0
jitendra;m;indian;0
jitinder;m;indian;0
jo;m,f;english;18.25
joab;m;biblical;0
joachim;m;english, french, german, polish, biblical;0.67
joakim;m;scandinavian;0
joan (1);f;english;0
joan (2);m;catalan;0
joana;f;portuguese;0
joandra;f;english (modern);0
joann;f;english;0
joanna;f;english, polish, biblical;0
joanne;f;english;0.06
joannes;m;;0.03
joão;m;portuguese;0
joaquim;m;portuguese, catalan;0.13
joaquima;f;catalan;0
joaquin;m;spanish;0.03
joash;m;biblical;0
job;m;biblical;2.74
jobeth;f;english;0
joby;m;english;0
jocasta;f;greek mythology (latinized);0
jocelin;f;english;0
joceline;f;french;0
jocelyn;f,m;english;0.16
jochem;m;german, dutch;0
jochen;m;german;0
jochim;m;german;0
jochjo;m;esperanto;0
jock;m;scottish;0
jockie;m;scottish;0
jocky;m;scottish;0
jocosa;f;english;0
jodene;f;english;0
jodi;f;english;0
jodie;f;english;0
jody;f,m;english;0
joe;m;english;1.50
joël;m;french;4.11
joel;m;english, jewish, biblical;0
joelle;f;french;0
joep;m;dutch;0
joetta;f;english;0
joey;m;english;0.06
johan;m;scandinavian, german, czech;0.13
johana;f;czech;0
jóhann;m;icelandic;0
johann;m;german;0.80
jóhanna;f;icelandic;0
johanna;f;german, scandinavian, dutch, hungarian;27.59
johanne;f;danish, norwegian;0
johanneke;f;dutch;0
jóhannes;m;icelandic;0
johannes;m;german, dutch, scandinavian, late roman;0.41
johano;m;esperanto;0
johar;m;indian;0
john;m;english, biblical;10.99
johnathan;m;english;0
johnathon;m;english;0
johnie;m;english;0
johnnie;m,f;english;0.06
johnny;m;english;3.79
joi;f;english;0.03
joisse;f;;0.06
jokum;m;danish;0
jolán;f;hungarian;0
jolana;f;czech;0
jolanda;f;italian;0
jolánka;f;hungarian;0
jolanta;f;polish;0
joleen;f;english;0
jolene;f;english;0
jolie;f;french;28.77
jolyon;m;english;0
jón;m;icelandic;0
jon (1);m;scandinavian, basque;0
jon (2);m;english;0
jóna;f;icelandic;0
jonah;m;english, biblical;0
jónas;m;icelandic;0
jonas (1);m;lithuanian;0
jonas (2);m;biblical (variant);0
jónatan;m;icelandic;0
jonatan;m;swedish;0
jonathan;m;english, biblical;0.57
jonathon;m;english;0
jonelle;f;english;0
jonette;f;norwegian, english;0
joni (1);f;english;0
joni (2);m;finnish;0
jonie;f;english;0
jonna;f;danish, swedish;0
jonny;m;english (modern);0
jonquil;f;english;0
jonty;m;english;0
jools;m,f;english;0
joona;m;finnish;0
joonas;m;finnish;0
joop;m;dutch;0.03
joord;m;dutch;0
joos;m;dutch;0.06
jooseppi;m;finnish;0
joost;m;dutch;0
jöran;m;swedish;0
jorck;m;danish;0
jordaan;m;dutch;0
jordan;m,f;english, german, biblical;1.75
jordana;f;english;0
jordi;m;catalan;0
jordon;m;english;0
jordyn;f;english (modern);0
jörg;m;german;0
jorge;m;spanish, portuguese;0.29
jörgen;m;swedish;0
jørgen;m;danish, norwegian;0
jorie;f;english;0
joris;m;dutch, frisian;0.06
jorma;m;finnish;0
jørn;m;danish;0
jory;m;cornish;0
jos;m;dutch;0.06
joscelin;f;english;0
josceline;f;english;0
josé;m;spanish, portuguese;2.61
josée;f;french;0.03
josef;m;german, scandinavian, czech;0.19
josefa;f;spanish, portuguese, czech;0
josefina;f;spanish;0
joselyn;f;english;0
josep;m;catalan;0.03
joseph;m;english, french, biblical;63.05
josepha;f;english, german;0.16
josèphe;f;french;0.16
josephina;f;english;0
joséphine;f;french;4.59
josephine;f;english;0
joses;m;biblical;0
josette;f;french;14.72
josh;m;english;0
joshawa;m;english (modern);0
joshua;m;english, biblical;0.10
josiah;m;biblical, english;0.16
josiane;f;french;0.22
josias;m;biblical (variant);0.06
josie;f;english;0.38
josif;m;serbian;0
josip;m;croatian, slovene;0
jóska;m;hungarian;0
joss;f;english;0
josslyn;f;english;0
josue;m;spanish, french;0
jotham;m;biblical;0
jouko;m;finnish;0
jouni;m;finnish;0
jourdain;m;french;3.12
jovan;m;serbian, macedonian;0
jovana;f;serbian;0
jovanka;f;serbian;0
jove;m;roman mythology;0
jovita;f;spanish, portuguese;0
jowan;m;cornish;0
jowita;f;polish;0
joy;f;english;0.41
joyce;f,m;english;9.94
joye;f;english;0
jozafat;m;polish;0
joze;m;slovene;0
jozef;m;slovak, slovene, polish, dutch;0
jozefa;f;hungarian, polish;0
jozefo;m;esperanto;0
jozo;m;croatian;0
józsef;m;hungarian;0
józsi;m;hungarian;0
józsua;m;hungarian;0
jozua;m;dutch;0
ju;f;chinese;1.08
juan;m;spanish;8.54
juana;f;spanish;1.12
juanita;f;spanish;1.24
juanito;m;spanish;0.06
jubal;m;biblical;0
juda;m;arabic;0.45
judah;m;biblical, english;0
judas;m;biblical;2.36
judd;m;english;0
jude;m;english, biblical;0.92
judi;f;english;0
judie;f;english;0
judit;f;hungarian;0
judita;f;czech;0
judite;f;portuguese;0
judith;f;english, jewish, french, biblical;2.68
judy;f;english;0.03
judyta;f;polish;0
juha;m;finnish;0
juhana;m;finnish;0
juhani;m;finnish;0
juho;m;finnish;0
jukka;m;finnish;0
jules (1);m;french;0
jules (2);f;english;0
juli;f;hungarian;0
júlia;f;hungarian;0
julia;f;english, german, spanish, portuguese, ancient roman, biblical;4.59
julián;m;spanish;0
julian;m;english;0.19
juliana;f;dutch, german, english, spanish, portuguese, ancient roman;0.10
juliane;f;french, german;0
julianna;f;english, hungarian;0
julianne;f;english;0
julie;f;french, english;16.53
julien;m;french;134.02
julienne;f;french;2.96
juliet;f;english;0
juliette;f;french;16.25
julija;f;slovene;0
julio;m;spanish, portuguese;0.99
juliska;f;hungarian;0
julitta;f;;0
julius;m;ancient roman, english;2.64
juliusz;m;polish;0
july;f;english;0.13
julyan;m;english;0
jumaane;m;african;0
jumana;f;arabic;0
jumanah;f;arabic;0
june;f;english;0.03
jung;m,f;korean;3.92
junior;m;english;0.80
juniper;f;english;0
junko;f;japanese;0
juno;f;roman mythology;0.03
juozas;m;lithuanian;0
jupiter;m;roman mythology;4.56
juraj;m;slovene, croatian;0
jure;m;slovene, croatian;17.81
jürgen;m;german;0.03
jurgis;m;lithuanian;0.13
jurij;m;slovene;0
juro;m;japanese;0.03
jussi;m;finnish;0
juste;m;french;167.03
justice;m,f;english;53.65
justin;m;english, french;0.89
justina;f;english, ancient roman;0
justine;f;french, english;0.76
justus;m;ancient roman;0.16
justy;m,f;english;0
justyn;m;english;0
justyna;f;polish;0
jutta;f;german;0
jutte;f;german;0
juturna;f;roman mythology;0
juuso;m;finnish;0
juvela;f;esperanto;0
juvenal;m;history;0.16
juventas;f;roman mythology;0
jyoti;f;indian;0
jyotsana;f;indian;0
jyotsna;f;indian;0
jytte;f;danish;0
kaapo;m;finnish;0
kaapro;m;finnish;0
kaarina;f;finnish;0
kaarle;m;finnish;0
kaarlo;m;finnish;0
kacper;m;polish;0
kade;m;english;0
kaden;m;english;0
kader;m;arabic;2.20
kae;f;english;0
kaelea;f;english (modern);0
kaelee;f;english (modern);0
kaety;f;english;0
kagiso;f;african;0
kai (1);m;scandinavian, finnish, german;0
kai (2);m,f;hawaiian;0
kaia;f;norwegian;0
kaija;f;finnish;0
kaila;f;;0.03
kailash;m,f;indian;0
kailee;f;english (modern);0
kailey;f;english;0
kailyn;f;english (modern);0
kaimana;m;hawaiian;0
kaisa;f;finnish;0
kaiser;m;german;0.99
kaitlin;f;english;0
kaitlyn;f;english;0
kaitlynn;f;english;0
kaj;m;danish;0
kajetan;m;polish;0
kajsa;f;swedish;0
kakalina;f;hawaiian;0
kala;f;hawaiian;0.29
kalani;m,f;hawaiian;0
kalea;f;hawaiian;0
kaleb;m;english;0
kaleigh;f;english (modern);0
kaleo;m;hawaiian;0
kaley;f;english;0
kali;f;hindu mythology;1.08
kalidas;m;indian;0
kalla;f;english;0.10
kalle;m;swedish, finnish;0
kallias;m;ancient greek;0
kallikrates;m;ancient greek;0
kalliope;f;greek mythology;0
kallisto;f;greek mythology, ancient greek;0
kallistrate;f;ancient greek;0
kálmán;m;hungarian;0
kalpana;f;indian;0
kalyan;m;indian;0
kalyani;f;indian;0
kalyn;f;english (modern);0
kalypso;f;greek mythology;0
kalysta;f;english (modern);0
kam;m;english;1.62
kama;m;hindu mythology;0.19
kamal (1);m;arabic;0
kamal (2);m;indian;0
kamala;f;indian;0
kamaria;f;african;0
kameron;m;english (modern);0
kamil (1);m;arabic;0
kamil (2);m;czech, slovak, polish;0
kamila;f;czech, slovak, polish;0
kamilla;f;hungarian;0
kamryn;f;english;0
kandajha;f;esperanto;0
kane;m;irish;0.13
kaneonuskatew;m;native american;0
kanta;f;indian;0
kanti;f;indian;0
kanya;f;thai;0
kaolin;m;;1.21
kapel;m;jewish;0
kapil;m;indian;0
kapila;m;indian;0
kara;f;english;0.57
karam;m,f;arabic;0
karan;m;indian, hindu mythology;0
karaugh;f;english (modern);0
karcsi;m;hungarian;0
kareem;m;arabic;0
karel;m;dutch, czech, slovene;0.06
karen;f;danish, norwegian, english;0.19
karena;f;;0
karenza;f;english;0
karesinda;f;esperanto;0
kari (1);f;norwegian;0
kari (2);m;finnish;0
karim;m;arabic;0.06
karima;f;arabic;0
karin;f;swedish, finnish;0.03
karina;f;;0
karissa;f;english;0
karita;f;norwegian;0
karl;m;german, scandinavian;7.07
karla;f;german, scandinavian;0.03
karlene;f;english;0
karly;f;english;0
karol;m;polish;0.03
karola;f;hungarian;0
karoliina;f;finnish;0
karolina;f;polish, scandinavian, hungarian;0
karoline;f;german, danish, norwegian;0
karolis;m;lithuanian;0
károly;m;hungarian;0
karolyn;f;english;0
karp;m;russian;0.03
karrie;f;english;0
karsten;m;german;0.06
karyn;f;english;0.92
karyna;f;;0
kasandra;f;english;0
kasey;m,f;english;0
kasi;m;indian;0
kasia;f;polish;0
kasimir;m;;0
kasimira;f;;0
kaspar;m;german;0.06
kasper;m;polish, dutch, scandinavian;0.03
kassandra;f;english, greek mythology;0
kassia;f;english;0
kassidy;f,m;english;0
kassy;f;english;0
kat;f;english;0.06
kata;f;hungarian;0.13
katalin;f;hungarian;0
katana;f;japanese;0
katariina;f;finnish;0
katarin;f;breton;0
katarina;f;german, swedish, hungarian, croatian, serbian, slovene;0
katarine;f;german;0
katarzyna;f;polish;0
katashi;m;japanese;0
kate;f;english;0.16
katee;f;english;0
katelin;f;english;0
katelyn;f;english;0
katelynn;f;english (modern);0
katerina;f;czech;0
katey;f;english;0
katharina;f;german;0
katharine;f;german, english;0.13
käthe;f;german;0
katherina;f;english;0
katherine;f;english;0.13
kathi;f;english;0
kathie;f;english;0
kathleen;f;irish, english;0.03
kathlyn;f;english;0
kathrin;f;german;0
kathryn;f;english;0
kathy;f;english;0
katica;f;slovene;0
katida;f;esperanto;0
katie;f;english;0
katina;f;;0
katinka;f;russian;0
katja;f;german, slovene;0
katlego;m,f;african;0
katlyn;f;english;0
kato;m;african;0
katri;f;finnish;0
katrien;f;dutch;0
katrijn;f;dutch;0
katrina;f;english;0
katrine;f;german, danish, dutch, polish;0
katriona;f;english;0
katsu;m;japanese;0
katsuo;m;japanese;0
katsuro;m;japanese;0
katy;f;english;0
katya;f;russian;0
kausalya;f;indian;0
kaveri;f;indian;0
kawacatoose;m;native american;0
kay (1);f;english;0
kay (2);m;welsh mythology;0
kaycee;f;english (modern);0
kaye;f;english;0.03
kayetan;m;german;0
kayla;f;english;0
kayleah;f;english (modern);0
kaylee;f;english;0
kayleen;f;english;0
kayleigh;f;english (modern);0
kayley;f;english, irish;0
kaylie;f;english;0
kaylin;f;english (modern);0
kayly;f;english (modern);0
kaylyn;f;english;0
kaylynn;f;english (modern);0
kayode;m;african;0
kazia;f;polish;0
kazimeras;m;lithuanian;0
kazimiera;f;polish;0
kazimierz;m;polish;0
kazimir;m;russian;0
kázmér;m;hungarian;0
kazuki;m;japanese;0
kazuko;f;japanese;0
kazuo;m;japanese;0
kean;m;irish;0
keane;m;irish;0.13
keanu;m;hawaiian;0
keara;f;;0
keaton;m;english;0.29
keefe;m;irish, english;0.03
keegan;m;english, irish;0
keelan;f,m;irish;0
keeleigh;f;english (modern);0
keeley;f;english, irish;0
keelin;f;irish;0
keely;f;english (modern);0
keenan;m;irish;0
kees;m;dutch;0
kegan;m;english, irish;0
keighley;f;english (modern);0
keiko;f;japanese;0
keir;m;scottish, english;0.03
keira;f;english;0
keisha;f;english;0.03
keith;m;english, scottish;1.24
keitha;f;english, scottish;0
keithia;f;;0
kekepania;f;hawaiian;0
kekoa;m;hawaiian;0
kelan;m;;0
kelcey;m,f;english (modern);0
keld;m;danish;0
kelda;f;;0
kelebek;f;turkish;0
kelemen;m;hungarian;0
kelia;f;;0
kelleigh;f;english;0
kelley;f;english;0.13
kelli;f;english;0
kellie;f;english;0
kelly;m,f;irish, english;0.41
kelsey;m,f;english;0
kelsi;f;english (modern);0
kelsie;f;english;0
kelvin;m;english;0.67
kemp;m;english;0.13
ken (1);m;english;0
ken (2);m;japanese;0
kenan;m;biblical;0
kenaniah;m;biblical;0
kendal;m;english, welsh;0
kendall;m,f;english, welsh;0.41
kendra;f;english;0
kendrick;m;english;0
kenelm;m;english;0
ken'ichi;m;japanese;0
kenina;f;scottish;0
kenith;m;english;0
kenji;m;japanese;0
kenna;f;scottish;0
kennard;m;english;0
kennedy;f,m;english, irish, scottish;1.75
kennet;m;scandinavian;0
kenneth;m;scottish, english;0.03
kennith;m;english;0
kenny;m;scottish, english;0.03
kenrick;m;english;0
kenshin;m;japanese;0
kent;m;english;0.64
kenta;m;japanese;0
kentigern;m;scottish;0
kenton;m;english;0
kenya;m,f;russian;0.89
kenyon;m;english;0.06
keoni;m;hawaiian;0
keren;f;english;0.29
kerena;f;english;0
keren-happuch;f;biblical;0
kerensa;f;english;0
kerenza;f;english;0
keri;f;english;0
kermit;m;english;0
kerneels;m;dutch;0
kerr;m;scottish, english;0.22
kerri;f;english;0
kerrie;f,m;english;0
kerry;m,f;english;0
kerstin;f;german, swedish;0
kerttu;f;finnish;0
keshaun;m;english (modern);0
keshawn;m;english (modern);0
keshet;m,f;jewish;0
keshia;f;english;0
kester;m;scottish;0
kestrel;f;english;0
kettil;m;swedish;0
keturah;f;biblical, english;0
kevan;m;irish;0
kevin;m;english, irish;0.06
kevork;m;armenian;0
keysha;f;english (modern);0
kezia;f;english;0
keziah;f;biblical, english;0
kgosi;m;african;0
khadiga;f;arabic;0
khadija;f;arabic;2.10
khajag;m;armenian;0
khaleel;m;indian;0
khalid;m;arabic;0.06
khalida;f;arabic;0
khalifa;m;arabic;0
khalil;m;arabic;0.03
khalilah;f;arabic;0
khaliq;m;arabic;0
khamisi;m;african;0
khara;f;;0
khatijah;f;arabic;0
khayrat;m;arabic;0
khayri;m;arabic;0
khayriyya;f;arabic;0
khayyam;m;arabic;0.03
khloe;f;english;0
khordad;m;;0
khorshed;m,f;arabic;0
khurshid;m,f;arabic;0
khwaja;m;arabic;0
kian;m;english, irish;0
kiana;f;hawaiian;0
kiara;f;;0
kiaran;m;;0
kiarra;f;;0
kibwe;m;african;0
kichiro;m;japanese;0
kiefer;m;english;0.32
kielo;f;finnish;0
kiera;f;irish;0
kieran;m;irish;0
kieron;m;;0
kierra;f;;0
kiersten;f;danish, english;0
kiku;f;japanese;0
kiley;f;english;0
kilian;m;irish;0.13
kilie;f;english;0
killian;m;irish;0.06
kim (1);f;english;0
kim (2);m;scandinavian;0
kim (3);f;vietnamese;0
kimball;m;english;0
kimberlee;f;english (modern);0
kimberleigh;f;english (modern);0
kimberley;f,m;english;0.45
kimberly;f;english;0
kimiko;f;japanese;0
kimmy;f;english;0
kimo;m;hawaiian;0
kin;f;japanese;0
kinborough;f;medieval english;0
king;m;english;8.92
kinga;f;polish, hungarian;0
kinge;f;german;0
kingsley;m,f;english;0
kip;m;english;0
kipling;m;english;0.64
kira;f;russian;0
kirabo;m,f;african;0
kiran;m;indian;0
kirby;m;english;0.10
kiri;f;indian;0.32
kiril;m;bulgarian, russian;0
kirill;m;russian;0
kirk;m;english;0.13
kirsa;f;;0
kirsi;f;finnish;0
kirsteen;f;scottish;0
kirsten;f;scandinavian;0
kirstie;f;scottish;0
kirstin;f;scottish;0
kirsty;f;scottish;0
kisecawchuck;m;native american;0
kisha;f;english;0
kishan;m;indian;0
kishen;m;indian;0
kishore;m;indian;0
kishori;f;indian;0
kistna;m;indian;0
kit;m,f;english;0.19
kitty;f;english;0
kiyoko;f;japanese;0
kiyoshi;m;japanese;0
kizzie;f;english;0
kizzy;f;english;0
kjeld;m;danish;0
kjell;m;swedish, norwegian;0
kjellfrid;f;norwegian;0
kjerstin;f;swedish, norwegian;0
kjetil;m;norwegian;0
klaas;m;german, dutch;0
klaes;m;frisian;0
klára;f;hungarian;0
klara;f;scandinavian, russian, ukrainian, czech, polish, slovene;0
klaudia;f;polish;0
klaus;m;german;0.38
klava;f;russian;0
klavdija;f;slovene;0
klavdiya;f;russian;0
kleitos;m;ancient greek;0
klemen;m;slovene;0
klemens;m;german, danish, swedish, polish;0.06
klementyna;f;polish;0
kliment;m;russian, czech;0
klio;f;greek mythology;0.06
klotild;f;hungarian;0
klytië;f;greek mythology;0
knud;m;danish;0.06
knut;m;scandinavian;0
knute;m;norwegian;0
kobe;m;african;0.06
kobina;m;african;0
kodey;m;english;0
kody;m;english;0
koen;m;dutch;0.03
koenraad;m;dutch;0
kofi;m;african;0
kohaku;f;japanese;0
kohar;f;armenian;0
kohinoor;f;;0
kojo;m;african;0
kolab;f;khmer;0
kolby;m;english;0
kole;m;english;0
kolleen;f;english (modern);0
kolman;m;czech;0
kolour;f;english;0
kolya;m;russian;0
kondrat;m;polish;0.03
konnor;m;english;0
konrád;m;hungarian;0
konrad;m;german, scandinavian, polish;0.29
konstantin;m;german, hungarian, russian, serbian, bulgarian;0
konstantinos;m;greek;0
konstantyn;m;polish;0
koos;m;dutch;0
koppel;m;jewish;0
kora;f;english;0
korbin;m;english;0
korbinian;m;german;0
körbl;m;german;0
korë;f;greek mythology;0
korey;m;english;0
korina;f;english;0
korinna;f;english, german;0
kornél;m;hungarian;0
kornel;m;polish, czech;0
kornélia;f;hungarian;0
kornelia;f;polish;0
korrine;f;english;0
kort;m;dutch;0
kortney;f,m;english (modern);0
kory;m;english;0
kostandin;m;albanian;0
kostya;m;russian;0
kourtney;f,m;english;0
kreindel;f;jewish;0
kresten;m;danish;0
kreszentia;f;german;0
kreszenz;f;german;0
kriemhild;f;german;0
kriemhilde;f;german;0
krikor;m;armenian;0
krimhilde;f;german;0
kris;f,m;;0.29
krishna;m;indian, hindu mythology;0.25
krista;f;german, english;0
kristal;f;english (modern);0
kristaps;m;latvian;0
kristeen;f;english;0
kristel;f;english (modern);0
kristen (1);m;danish;0
kristen (2);f;german;0
krister;m;swedish;0
kristi;f;english;0
kristia;f;english;0
kristian;m,f;scandinavian, finnish;0
kristie;f;english;0
kristiina;f;finnish;0
kristin;f;scandinavian, german;0
kristina;f;swedish, czech, russian, german;0
kristine;f;danish, norwegian;0
kristján;m;icelandic;0
kristjan;m;estonian;0
kristjana;f;icelandic;0
kristóf;m;hungarian;0
kristoffer;m;scandinavian;0
kristopher;m;english;0
kristy;f;english;0
kristyna;f;czech;0
krisztián;m;hungarian;0
krisztina;f;hungarian;0
krysia;f;polish;0
krystal;f;english (modern);0
krystina;f;english (modern);0
krystine;f;english (modern);0
krystle;f;english (modern);0
krystof;m;czech;0
krystyn;m;polish;0
krystyna;f;polish;0
krzys;m;polish;0
krzysztof;m;polish;0
ksawery;m;polish;0
ksenia;f;polish;0
ksenija;f;slovene;0
kseniya;f;russian;0
kshitij;f;indian;0
kuba;m;polish;0
kudret;m;turkish;0
kukka;f;finnish;0
kumar;m;indian;0
kumari;f;indian;0
kumiko;f;japanese;0.45
kun;m;chinese;0.10
kunal;m;indian;0
kunegunda;f;polish;0
kunibert;m;german;0
kunigonde;f;dutch;0
kunigunde;f;german;0
kuno;m;german;0.03
kunthea;f;khmer;0
kunto;f;african;0
kuro;m;japanese;0.10
kurt;m;german;0.54
kurtis;m;english;0
kustaa;m;finnish;0
kuzma;m;russian;0
kwabena;m;african;0
kwadwo;m;african;0
kwaku;m;african;0
kwame;m;african;0
kwasi;m;african;0
kweku;m;african;0
kwesi;m;african;0
kyla;f;english;0
kyle;m,f;english;0.03
